arch,optimizer,seed,n_points,d_full,k_initial,k_used,kmax,k_used_over_n_minus_1,connected_at_initial_k,initial_components,connected_at_final_k,final_components,adaptive_growth_used,edge_count,possible_edges,graph_density,edge_median,edge_p95,edge_p99,edge_max,edge_max_over_median,allpair_median,allpair_p95,allpair_p99,allpair_max,edge_max_over_allpair_median,edge_max_over_allpair_p95,edge_p95_over_allpair_p95,near_complete_graph_flag,geo_Lobs,geo_pperm,geo_formal_trigger,decision,kinematic_R,val_acc,trajectory_file,trajectory_sha256,elapsed_sec,geo_zero_frac,geo_null_collapsed,d_full_main
smallcnn_cifar10,sgd,11042,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1327,19900,0.06668341708542713,0.10757511485251363,0.7503797710764013,1.224187035113529,1.5723475785409324,14.616276084687593,2.0378313949720432,5.567611667564585,6.0978480029964715,6.205516858322532,0.7715788373952948,0.282409706786974,0.13477588163121687,False,0.0,1.0,False,matched_step_non_detection,2.0229271016983743,62.93000030517578,exp4_results/trajectories/smallcnn_cifar10__sgd__seed11042.npy,3b710baadbd342a0acb0571d2a085915abae0bd7538b12d70428d651117fe493,0.8586843013763428,1.0,True,321290
smallcnn_cifar10,sgd,12042,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1338,19900,0.06723618090452262,0.10821199198560388,0.7647920202334437,1.3170513937797423,1.6769557307365088,15.496949089931805,2.068677885141993,5.614629872882852,6.181592863901419,6.2975616903801885,0.8106413003107986,0.2986760959676886,0.1362141472454038,False,0.0,1.0,False,matched_step_non_detection,1.955401023480538,63.68999862670898,exp4_results/trajectories/smallcnn_cifar10__sgd__seed12042.npy,50ffa24b7317feb456315cd2b316dc7cd58b52eae1cf75584fb991425a858086,0.8763821125030518,1.0,True,321290
smallcnn_cifar10,sgd_momentum,10142,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1380,19900,0.06934673366834171,0.6697093185733379,2.7464648799366858,4.780642802153381,6.848553756559066,10.226158673046559,6.139443811363185,18.493256910929706,20.321817680236983,21.035047902550644,1.1155006816549586,0.37032707594686204,0.14851169229760436,False,0.0,1.0,False,matched_step_non_detection,4.07059593520255,82.80999755859375,exp4_results/trajectories/smallcnn_cifar10__sgd_momentum__seed10142.npy,bbfb247c5936ed3107febfb553fcd0e46ddb94427215f2df1dd0d6d821c98442,0.8393754959106445,1.0,True,321290
smallcnn_cifar10,sgd_momentum,11142,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1383,19900,0.06949748743718592,0.6840860821350213,2.7996305593329045,4.860282432387293,6.930099743460223,10.130449843127003,6.143568527733009,18.617841327848264,20.50476464812797,21.2135780638154,1.128025139163918,0.3722289615334685,0.15037353203483975,False,0.0,1.0,False,matched_step_non_detection,4.104092807785076,83.38999938964844,exp4_results/trajectories/smallcnn_cifar10__sgd_momentum__seed11142.npy,e5cbf2f45ce2cba28afb935f72e7f345a2238eb64940ffed3327a7536688454c,0.8438608646392822,1.0,True,321290
smallcnn_cifar10,sgd_momentum,12142,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1387,19900,0.06969849246231155,0.6779295788889048,2.8664262433864836,4.908399600397711,6.94930883591538,10.250782754301301,6.12942281064304,18.36916167519704,20.324252186446163,21.01089395398111,1.1337623542379176,0.3783138805565801,0.15604556669870892,False,0.0,1.0,False,matched_step_non_detection,4.100032562517629,83.44000244140625,exp4_results/trajectories/smallcnn_cifar10__sgd_momentum__seed12142.npy,a8d4344eb11fb038e3f0f1609e4f914e6ece3b39b17af015c49004c6032c21f1,0.8396396636962891,1.0,True,321290
smallcnn_cifar10,adam,10242,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1388,19900,0.06974874371859296,2.0470788180285258,6.411793330918561,11.91753834918823,16.56633013183394,8.092668433636733,15.0489905492987,40.264605744366335,43.5500711040679,44.76806085806877,1.1008266685771058,0.4114365414878407,0.15924142835585853,False,0.0,1.0,False,matched_step_non_detection,5.804539119545645,83.11000061035156,exp4_results/trajectories/smallcnn_cifar10__adam__seed10242.npy,62e81b494dd776ecdf50964aaa9ea1e391ebbbadf6386c8323f218ca9cfc4544,0.858422040939331,1.0,True,321290
smallcnn_cifar10,adam,11242,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1387,19900,0.06969849246231155,2.1663983514759453,6.712272382605171,12.313171988336057,17.389247758277268,8.026800678841969,15.341796940858142,41.13560731883901,44.676774462386646,45.93240721805847,1.133455736985101,0.42272981710210544,0.16317426239945088,False,0.0,1.0,False,matched_step_non_detection,5.967587772596174,83.54000091552734,exp4_results/trajectories/smallcnn_cifar10__adam__seed11242.npy,3d1be0fdade14c06421bece776a703af9097472fe33124d8003e3ddcfdcd47c5,0.8465495109558105,1.0,True,321290
smallcnn_cifar10,adam,12242,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1392,19900,0.06994974874371859,2.130331535910544,6.451822198584374,11.894584131953096,16.77134829453203,7.872647056015985,15.124852274205885,40.65092248466297,44.09329121121432,45.32601391941047,1.1088603042512348,0.41256993124471436,0.1587128115239795,False,0.0,1.0,False,matched_step_non_detection,5.925733613983587,83.69000244140625,exp4_results/trajectories/smallcnn_cifar10__adam__seed12242.npy,d0051c2c048fd948f9b0966985d3b3d3f502eed04d11ee7ed21a3065be541904,0.8685817718505859,1.0,True,321290
smallcnn_cifar10,adamw,10342,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1385,19900,0.06959798994974874,2.002836772388762,6.2965341430640285,11.676651929669594,16.382254372967147,8.179525460489737,14.421430490831849,37.943596380837185,41.119217376706814,42.25049381819824,1.135965976702569,0.4317528103698761,0.16594457941904073,False,0.0,1.0,False,matched_step_non_detection,6.05332313919139,83.58999633789062,exp4_results/trajectories/smallcnn_cifar10__adamw__seed10342.npy,b78cbf2e80019613d420f0499ab3fdcc439e78439a2efb9dc4f42bd8f15fbc65,0.9279119968414307,1.0,True,321290
smallcnn_cifar10,adamw,11342,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1390,19900,0.06984924623115578,2.0664335713996165,6.379231237499626,11.807085782208304,16.61527840738779,8.040557720965621,14.73614096747177,39.23496288188819,42.36065801178509,43.39703459098035,1.1275189647047257,0.4234814356115368,0.16259047464128662,False,0.0,1.0,False,matched_step_non_detection,6.021956368902862,83.6500015258789,exp4_results/trajectories/smallcnn_cifar10__adamw__seed11342.npy,ff0f794739cace238acec4872eead047cd35f9a71b7519363c789e77c548100f,0.8846449851989746,1.0,True,321290
smallcnn_cifar10,adamw,12342,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1397,19900,0.07020100502512563,1.9812424770512445,6.150747664493994,11.359617695535912,15.933892716074297,8.042373864193165,14.124486263099932,37.77961208929639,40.85885260724206,41.876086076904414,1.128104231139386,0.42175903443403057,0.16280600367086465,False,0.0,1.0,False,matched_step_non_detection,5.976859907060671,83.36000061035156,exp4_results/trajectories/smallcnn_cifar10__adamw__seed12342.npy,11fdf8ac11dce3880112f22a719e6c7098ab2b52f73691b465bfc16022c9dc4c,0.8971779346466064,1.0,True,321290
