arch,optimizer,seed,lag,acf_mag,cos_sim
resnet18_cifar10,sgd_momentum,22142,12,0.8845008642214788,0.01299632365640608
resnet18_cifar10,sgd_momentum,22142,13,0.8767774450566745,0.012890897335013283
resnet18_cifar10,sgd_momentum,22142,14,0.8687765607952609,0.012014040913644471
resnet18_cifar10,sgd_momentum,22142,15,0.8606181544754798,0.012856572641931024
resnet18_cifar10,sgd_momentum,22142,16,0.8521519355648655,0.009721452119594739
resnet18_cifar10,sgd_momentum,22142,17,0.8432189419314383,0.01009215186369005
resnet18_cifar10,sgd_momentum,22142,18,0.8343063757708885,0.01177207604133375
resnet18_cifar10,sgd_momentum,22142,19,0.8252782370772875,0.008993821721725965
resnet18_cifar10,sgd_momentum,22142,20,0.8156155240059898,0.012142878458231154
resnet18_cifar10,sgd_momentum,22142,21,0.8059627552505794,0.009004980971960636
resnet18_cifar10,sgd_momentum,22142,22,0.796217645971614,0.01082596118072093
resnet18_cifar10,sgd_momentum,22142,23,0.7860744610436221,0.01071485145529678
resnet18_cifar10,sgd_momentum,22142,24,0.7748393273917854,0.011286571751680595
resnet18_cifar10,sgd_momentum,22142,25,0.7635857424054558,0.008083573154771198
resnet18_cifar10,sgd_momentum,22142,26,0.7515352571167383,0.008704776665242912
resnet18_cifar10,sgd_momentum,22142,27,0.7398649737872421,0.009377865858940432
resnet18_cifar10,sgd_momentum,22142,28,0.7276232957901559,0.010227083312001775
resnet18_cifar10,sgd_momentum,22142,29,0.7159863794134709,0.009482872454484422
resnet18_cifar10,sgd_momentum,22142,30,0.7028888800366143,0.007732794803170681
resnet18_cifar10,sgd_momentum,22142,31,0.6896411771379195,0.008729120683341085
resnet18_cifar10,sgd_momentum,22142,32,0.6764217411879102,0.006254083431666838
resnet18_cifar10,sgd_momentum,22142,33,0.662290995792853,0.008007285108471826
resnet18_cifar10,sgd_momentum,22142,34,0.6477797776543115,0.00758389259309895
resnet18_cifar10,sgd_momentum,22142,35,0.6335777459350649,0.008688070551927739
resnet18_cifar10,sgd_momentum,22142,36,0.6190448739208257,0.007842812242639781
resnet18_cifar10,sgd_momentum,22142,37,0.604048910753664,0.00818012839967176
resnet18_cifar10,sgd_momentum,22142,38,0.5886387350463671,0.008269780933504271
resnet18_cifar10,sgd_momentum,22142,39,0.5735128600356589,0.008864111187490151
resnet18_cifar10,sgd_momentum,22142,40,0.5576648640782994,0.004966617253649122
resnet18_cifar10,adam,20242,0,1.0,1.0
resnet18_cifar10,adam,20242,1,0.9898578711503027,-0.025121112228369154
resnet18_cifar10,adam,20242,2,0.9843995177793645,-0.017739497473316004
resnet18_cifar10,adam,20242,3,0.980959778068318,-0.006316294142743274
resnet18_cifar10,adam,20242,4,0.9772350287665619,-0.002075620547830904
resnet18_cifar10,adam,20242,5,0.9735945522928301,0.0011039291287237556
resnet18_cifar10,adam,20242,6,0.9709174341127338,0.002020712472938036
resnet18_cifar10,adam,20242,7,0.9667989280532817,0.0029919892102506264
resnet18_cifar10,adam,20242,8,0.9599453641660154,0.0026385256190892465
resnet18_cifar10,adam,20242,9,0.9540615115409808,0.0030059154782226994
resnet18_cifar10,adam,20242,10,0.948131207658474,0.0033907189595295496
resnet18_cifar10,adam,20242,11,0.9423087409858538,0.005616415335289113
resnet18_cifar10,adam,20242,12,0.9343629955139612,0.003908969699514288
resnet18_cifar10,adam,20242,13,0.928223947942695,0.0028425346284596544
resnet18_cifar10,adam,20242,14,0.9207530447597958,0.006801866902321723
resnet18_cifar10,adam,20242,15,0.9133977050421449,0.00606986474923549
resnet18_cifar10,adam,20242,16,0.9046651131743095,0.006183882078417962
resnet18_cifar10,adam,20242,17,0.8943143168887525,0.002315312201170291
resnet18_cifar10,adam,20242,18,0.8848999301362422,0.0034081858952339584
resnet18_cifar10,adam,20242,19,0.8754604883189806,0.00543442463710751
resnet18_cifar10,adam,20242,20,0.8647478368139605,0.004751066625158714
resnet18_cifar10,adam,20242,21,0.8567672421614096,0.007479830157620385
resnet18_cifar10,adam,20242,22,0.8463569214296442,0.004880787211936647
resnet18_cifar10,adam,20242,23,0.8326805059227055,0.006154880949353622
resnet18_cifar10,adam,20242,24,0.8196196589334862,0.0024397281958465126
resnet18_cifar10,adam,20242,25,0.8079109493641303,0.005093315337431606
resnet18_cifar10,adam,20242,26,0.7943430186468808,0.005031043092704939
resnet18_cifar10,adam,20242,27,0.7818294199978898,0.005049215562398585
resnet18_cifar10,adam,20242,28,0.7672853458822649,0.0021241966365015052
resnet18_cifar10,adam,20242,29,0.7536690561547715,0.005581504409424126
resnet18_cifar10,adam,20242,30,0.7385417241425418,0.0025719156146872886
resnet18_cifar10,adam,20242,31,0.7241927220250018,0.006268120344963627
resnet18_cifar10,adam,20242,32,0.7089948651473406,0.005652551638420278
resnet18_cifar10,adam,20242,33,0.6919586301805122,0.004081931178137423
resnet18_cifar10,adam,20242,34,0.6762162422315864,0.003101289463567801
resnet18_cifar10,adam,20242,35,0.6594833542943083,0.0029473091689149523
resnet18_cifar10,adam,20242,36,0.6440708953750186,0.0037008646048313112
resnet18_cifar10,adam,20242,37,0.6257454359543317,0.004290303343675574
resnet18_cifar10,adam,20242,38,0.6101842074957479,0.005180748562434546
resnet18_cifar10,adam,20242,39,0.5931694927692549,0.006051567465022606
resnet18_cifar10,adam,20242,40,0.5755645942759368,0.0032221923532443288
resnet18_cifar10,adam,21242,0,1.0,1.0
resnet18_cifar10,adam,21242,1,0.9889893168255437,-0.017132932852411898
resnet18_cifar10,adam,21242,2,0.9815095513944622,-0.01844973506884837
resnet18_cifar10,adam,21242,3,0.9776652645424043,-0.006248635583348258
resnet18_cifar10,adam,21242,4,0.9745947765209391,0.0005278709549981046
resnet18_cifar10,adam,21242,5,0.9702542307219657,-0.0006750102769110823
resnet18_cifar10,adam,21242,6,0.9663229578638249,0.0011781774200905733
resnet18_cifar10,adam,21242,7,0.9611168432966409,0.0036737927337114444
resnet18_cifar10,adam,21242,8,0.9576195607820843,0.002612509839576079
resnet18_cifar10,adam,21242,9,0.951919126774064,0.0020463236820426893
resnet18_cifar10,adam,21242,10,0.9462796232678912,0.006379851885573302
resnet18_cifar10,adam,21242,11,0.9402511339243155,0.00432715507943357
resnet18_cifar10,adam,21242,12,0.9315509110239284,0.00423120516014299
resnet18_cifar10,adam,21242,13,0.9229952452282569,0.008377097945479917
resnet18_cifar10,adam,21242,14,0.9174016781153221,0.0043832056507779205
resnet18_cifar10,adam,21242,15,0.9103494079944418,0.00423267678853059
resnet18_cifar10,adam,21242,16,0.8999058796588048,0.003731219032442254
resnet18_cifar10,adam,21242,17,0.890082610712666,0.006719081752435008
resnet18_cifar10,adam,21242,18,0.8805366542171387,0.006118767429176853
resnet18_cifar10,adam,21242,19,0.8722902297062247,0.0013806890771502199
resnet18_cifar10,adam,21242,20,0.8631312706640099,0.006863364455605932
resnet18_cifar10,adam,21242,21,0.8516124400069929,0.005025376945066189
resnet18_cifar10,adam,21242,22,0.8381517626068902,0.0013974891006097378
resnet18_cifar10,adam,21242,23,0.8265793362697259,0.006006501865079222
resnet18_cifar10,adam,21242,24,0.8140889878803697,0.005995627320967117
resnet18_cifar10,adam,21242,25,0.8037067655585381,0.004577607426095709
resnet18_cifar10,adam,21242,26,0.7907108136268193,0.002313978851816712
resnet18_cifar10,adam,21242,27,0.7767967310175082,0.003887399461163146
resnet18_cifar10,adam,21242,28,0.7639967286909112,0.006908087554115356
resnet18_cifar10,adam,21242,29,0.7482012837281036,0.006283664752858831
resnet18_cifar10,adam,21242,30,0.7328865028192529,0.0018377362471342841
resnet18_cifar10,adam,21242,31,0.7186820892828188,0.005874386327280996
resnet18_cifar10,adam,21242,32,0.7030478582633545,0.0040585813713125765
resnet18_cifar10,adam,21242,33,0.6879212875955975,0.003440868300453228
resnet18_cifar10,adam,21242,34,0.6734983316509313,0.0038973576566041853
resnet18_cifar10,adam,21242,35,0.658266324304432,0.002033361206901317
resnet18_cifar10,adam,21242,36,0.6429101938889069,0.004635253634937532
resnet18_cifar10,adam,21242,37,0.6266746554842844,0.005859469157357761
resnet18_cifar10,adam,21242,38,0.6062252861220931,0.004285782524279437
resnet18_cifar10,adam,21242,39,0.586642735787392,0.002624678970016098
resnet18_cifar10,adam,21242,40,0.5695222155747763,0.003613012796456817
