dataset,type,param,k,k_used,seed,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
helix_p15,helix,15.0,10,10,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.000911075621843338,0.046155937016010284,0.14123103022575378,0.019739077586217582,1.0,0.0,-2.6056089543797354,-0.14031995460391045,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,10,10,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0006497986614704132,0.045128876343369484,0.14548633620142937,0.014398733451990447,1.0,0.0,-2.5574011574160855,-0.14483653753995895,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,10,10,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010860525071620941,0.04753568023443222,0.1299091838300228,0.022847101414835137,1.0,0.0,-2.437790950139978,-0.12882313132286072,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,10,10,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0020787687972187996,0.04851026087999344,0.2104262262582779,0.04285214631845593,1.0,0.0,-2.3029568809214793,-0.2083474574610591,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,12,12,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0005692644044756889,0.04698098450899124,0.15596365183591843,0.012116910924985532,1.0,0.0,-2.234577161708402,-0.15539438743144274,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,12,12,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.001929950900375843,0.04691256023943424,0.18076972663402557,0.041139321548100155,1.0,0.0,-2.019390200787168,-0.17883977573364973,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,12,12,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0019918037578463554,0.04685472324490547,0.16984505578875542,0.042510202170928726,1.0,0.0,-2.241634396713287,-0.16785325203090906,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,12,12,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0016231648623943329,0.04621608182787895,0.15012335032224655,0.03512121318298491,1.0,0.0,-2.0469705991016607,-0.14850018545985222,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,14,14,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0013211052864789963,0.049001267179846764,0.17105460911989212,0.02696063515262274,1.0,0.0,-2.062533778623091,-0.16973350383341312,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,14,14,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.002172243781387806,0.04121067561209202,0.15201665833592415,0.05271070539541741,1.0,0.0,-2.2448598794563743,-0.14984441455453634,0.0,False,False,False,False,False,False
