experiment,calib_id,block_size,n_steps,n_checkpoints,d,n_pool_steps,n_source_files,n_nulls,geodesic_k,geodesic_max_k,geodesic_pct,alpha,sample_with_replacement,seed,runtime_sec,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
block_type1_calibration_mlp2_empirical_random_walk,8,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,9,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.032,0.0,0.0,2.5331974029541016e-07,0.0,1.0,0.0,0.0,-2.5331974029541016e-07,0.99,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,9,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.137,0.0,0.0,0.0015098899602890015,0.0,1.0,0.0,0.0,-0.0015098899602890015,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,9,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.222,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,9,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.233,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,10,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.937,0.0,0.0,8.404254913330078e-06,0.0,1.0,0.0,0.0,-8.404254913330078e-06,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,10,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.913,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,10,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.919,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,10,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,11,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.732,0.0,0.0,1.0728836059570312e-06,0.0,1.0,0.0,0.0,-1.0728836059570312e-06,0.99,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,11,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.776,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,11,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.933,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,11,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.849,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,12,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.09,0.0,0.0,0.0002371072769165039,0.0,1.0,0.0,0.0,-0.0002371072769165039,0.98,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,12,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.204,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,12,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.206,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,12,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.098,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,13,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.437,0.0,0.0,4.4405460357666016e-05,0.0,1.0,0.0,0.0,-4.4405460357666016e-05,0.965,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,13,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,13,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.283,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,13,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.352,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,14,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.745,0.0,0.0,0.0001302957534790039,0.0,1.0,0.0,0.0,-0.0001302957534790039,0.975,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,14,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.733,0.0,0.0,0.00755620002746582,0.0,1.0,0.0,0.0,-0.00755620002746582,0.96,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,14,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.719,0.0,0.0,0.03992772102355957,0.0,1.0,0.0,0.0,-0.03992772102355957,0.95,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,14,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.715,0.0,0.0,0.0005750656127929688,0.0,1.0,0.0,0.0,-0.0005750656127929688,0.945,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,15,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.142,0.0,0.0,2.9355287551879883e-06,0.0,1.0,0.0,0.0,-2.9355287551879883e-06,0.985,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,15,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.985,0.0,0.0,0.0001278221607208252,0.0,1.0,0.0,0.0,-0.0001278221607208252,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,15,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,15,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.924,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,16,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.694,0.0,0.0,2.3618340492248535e-06,0.0,1.0,0.0,0.0,-2.3618340492248535e-06,0.98,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,16,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,16,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.744,0.0,0.0,0.005410313606262207,0.0,1.0,0.0,0.0,-0.005410313606262207,0.98,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,16,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.779,0.0,0.0,0.002283811569213867,0.0,1.0,0.0,0.0,-0.002283811569213867,0.98,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,17,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.751,0.0,0.0,4.589557647705078e-06,0.0,1.0,0.0,0.0,-4.589557647705078e-06,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,17,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.863,0.0,0.0,3.3974647521972656e-06,0.0,1.0,0.0,0.0,-3.3974647521972656e-06,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,17,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.805,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
