Scenario,Budget,method,publication_config,N_SAMPLES,NOISE_LEVEL,TOTAL_PROJECTIONS,N_NULLS,SUBSAMPLE,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
True Circle,5,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,4.210312709212303,0.2091352753341198,0.6031677275896072,20.13200643681784,0.0033222591362126247,100.0,43.392122803435264,3.607144981622696,0.0,False,False,True,True,True,True
True Circle,5,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.019372884184122086,0.08351054042577744,0.2596115469932556,0.23198130541507334,1.0,0.0,-2.327115715065488,-0.24023866280913353,0.0,False,False,False,False,False,False
True Circle,5,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,2.3931572288274765,0.16254795715212822,0.4292372539639473,14.722776408521726,0.0033222591362126247,100.0,34.073525703225094,1.9639199748635292,0.0,False,False,True,True,True,True
True Circle,10,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,4.210312709212303,0.23681234568357468,0.6615094840526581,17.779109856123313,0.0033222591362126247,100.0,41.36182439611675,3.548803225159645,0.0,False,False,True,True,True,True
True Circle,10,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.02203201875090599,0.09478038549423218,0.27626968175172806,0.2324533566284586,1.0,0.0,-2.1489848482275398,-0.25423766300082207,0.0,False,False,False,False,False,False
True Circle,10,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,2.3931572288274765,0.17702124267816544,0.49512994289398193,13.519039820349988,0.0033222591362126247,100.0,33.90844847754048,1.8980272859334946,0.0,False,False,False,False,True,True
True Circle,20,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,4.784264788031578,0.2593012787401676,0.6904582679271698,18.450602369790825,0.0033222591362126247,100.0,44.024782214431895,4.093806520104408,0.0,False,False,True,True,True,True
True Circle,20,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.02741135284304619,0.10151995345950127,0.27626968175172806,0.27000950954642844,1.0,0.0,-2.1300624747064627,-0.24885832890868187,0.0,False,False,False,False,False,False
True Circle,20,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,2.8880834132432938,0.20376033335924149,0.49512994289398193,14.173923675994672,0.0033222591362126247,100.0,37.4411208655795,2.392953470349312,0.0,False,False,True,True,True,True
True Circle,40,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,4.836536750197411,0.2712741270661354,0.7286785691976547,17.828964385536317,0.0033222591362126247,100.0,45.09786731027757,4.107858180999756,0.0,False,False,True,True,True,True
True Circle,40,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.028156649321317673,0.10661162808537483,0.27626968175172806,0.26410486198096195,1.0,0.0,-2.3823917223452935,-0.24811303243041039,0.0,False,False,False,False,False,False
True Circle,40,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,2.9402711242437363,0.2199387289583683,0.49512994289398193,13.368591962659403,0.0033222591362126247,100.0,33.77271885838345,2.4451411813497543,0.0,False,False,True,True,True,True
True Circle,100,raw,True,1200,0.03,100,300,600,0.05,0.001,5.0,4.9051451832056046,0.29166382923722267,0.7286785691976547,16.817804237217302,0.0033222591362126247,100.0,40.97423599091066,4.17646661400795,0.0,False,False,True,True,True,True
True Circle,100,detrended_pca,True,1200,0.03,100,300,600,0.05,0.001,5.0,0.02926936186850071,0.11392917484045029,0.29396845400333405,0.2569083986541065,1.0,0.0,-2.3738333519578965,-0.26469909213483334,0.0,False,False,False,False,False,False
True Circle,100,detrended_time,True,1200,0.03,100,300,600,0.05,0.001,5.0,2.9402711242437363,0.2359265722334385,0.5195607095956802,12.462653512898964,0.0033222591362126247,100.0,33.71121322490749,2.420710414648056,0.0,False,False,True,True,True,True
