arch,optimizer,seed,lag,acf_mag,cos_sim
mlp2_mnist,sgd_momentum,1142,12,0.4505233120554798,0.586365964167318
mlp2_mnist,sgd_momentum,1142,13,0.4337295339414793,0.5934509517013058
mlp2_mnist,sgd_momentum,1142,14,0.41678893230241476,0.5887647441144215
mlp2_mnist,sgd_momentum,1142,15,0.4016978301820225,0.5923881147527014
mlp2_mnist,sgd_momentum,1142,16,0.38706301819502675,0.5878265946507434
mlp2_mnist,sgd_momentum,1142,17,0.37474171487355357,0.5760332621976679
mlp2_mnist,sgd_momentum,1142,18,0.36159900271387113,0.5840305211416451
mlp2_mnist,sgd_momentum,1142,19,0.3490338925895148,0.5771503613332614
mlp2_mnist,sgd_momentum,1142,20,0.3389387997929789,0.5822923129452438
mlp2_mnist,sgd_momentum,1142,21,0.32755803412965434,0.5719354086783051
mlp2_mnist,sgd_momentum,1142,22,0.3183287722236606,0.5768273392837208
mlp2_mnist,sgd_momentum,1142,23,0.30764807576276915,0.5713592316958355
mlp2_mnist,sgd_momentum,1142,24,0.29769070869189035,0.5723933954920022
mlp2_mnist,sgd_momentum,1142,25,0.28937943388961335,0.571660078159191
mlp2_mnist,sgd_momentum,1142,26,0.28052485224116114,0.5635501555142034
mlp2_mnist,sgd_momentum,1142,27,0.2712804439294299,0.5702709793198717
mlp2_mnist,sgd_momentum,1142,28,0.2607624138321723,0.5614311701921583
mlp2_mnist,sgd_momentum,1142,29,0.2522249459196749,0.5653131161580861
mlp2_mnist,sgd_momentum,1142,30,0.24420135384008423,0.5690784792346051
mlp2_mnist,sgd_momentum,1142,31,0.2362441324595829,0.5572554875851162
mlp2_mnist,sgd_momentum,1142,32,0.22895915812251275,0.5570247701671309
mlp2_mnist,sgd_momentum,1142,33,0.22253427488966365,0.5615060568546006
mlp2_mnist,sgd_momentum,1142,34,0.2143746798202792,0.5616570140661686
mlp2_mnist,sgd_momentum,1142,35,0.20787370670369013,0.5600702778960396
mlp2_mnist,sgd_momentum,1142,36,0.20131736417076168,0.5493291398927833
mlp2_mnist,sgd_momentum,1142,37,0.19400276459288712,0.5622514319502702
mlp2_mnist,sgd_momentum,1142,38,0.1875560786423147,0.5563863217524413
mlp2_mnist,sgd_momentum,1142,39,0.18151648659957548,0.5468423168924763
mlp2_mnist,sgd_momentum,1142,40,0.17377167068999017,0.5588807620899884
mlp2_mnist,sgd_momentum,2142,0,1.0,1.0
mlp2_mnist,sgd_momentum,2142,1,0.8816337384707224,0.5058293674074154
mlp2_mnist,sgd_momentum,2142,2,0.8013725709888648,0.6185630867252931
mlp2_mnist,sgd_momentum,2142,3,0.736765083906233,0.6271384423530918
mlp2_mnist,sgd_momentum,2142,4,0.6834361764905353,0.6292586813652479
mlp2_mnist,sgd_momentum,2142,5,0.6398953563863142,0.6138237241240404
mlp2_mnist,sgd_momentum,2142,6,0.603373408778504,0.620269294893259
mlp2_mnist,sgd_momentum,2142,7,0.5715177109042083,0.6185469563812251
mlp2_mnist,sgd_momentum,2142,8,0.5442659371111215,0.6100363734178261
mlp2_mnist,sgd_momentum,2142,9,0.5199213195687482,0.6137264296137074
mlp2_mnist,sgd_momentum,2142,10,0.49732343485509584,0.6077561408646175
mlp2_mnist,sgd_momentum,2142,11,0.4770417816994184,0.605112758594502
mlp2_mnist,sgd_momentum,2142,12,0.45827668290273615,0.6011137187031786
mlp2_mnist,sgd_momentum,2142,13,0.44076113290259616,0.6038941678779798
mlp2_mnist,sgd_momentum,2142,14,0.4247738967240714,0.5980931081800769
mlp2_mnist,sgd_momentum,2142,15,0.4089008937639148,0.6006589495576556
mlp2_mnist,sgd_momentum,2142,16,0.3930182073049104,0.5917224019515684
mlp2_mnist,sgd_momentum,2142,17,0.3788384757880962,0.5997341277301416
mlp2_mnist,sgd_momentum,2142,18,0.3651334607925036,0.582188836926866
mlp2_mnist,sgd_momentum,2142,19,0.3531286400389067,0.5962960367259904
mlp2_mnist,sgd_momentum,2142,20,0.3429888635755435,0.5883641034545498
mlp2_mnist,sgd_momentum,2142,21,0.3341508704266585,0.5898344153778261
mlp2_mnist,sgd_momentum,2142,22,0.32363407478823375,0.5805220734478811
mlp2_mnist,sgd_momentum,2142,23,0.3142415215542362,0.5856804388734066
mlp2_mnist,sgd_momentum,2142,24,0.30276765431687325,0.5839569322539698
mlp2_mnist,sgd_momentum,2142,25,0.29476267187184885,0.5793840361970892
mlp2_mnist,sgd_momentum,2142,26,0.28471852872576797,0.574625753848795
mlp2_mnist,sgd_momentum,2142,27,0.2767676521393464,0.5837174863679736
mlp2_mnist,sgd_momentum,2142,28,0.26787891404625264,0.5781747856633821
mlp2_mnist,sgd_momentum,2142,29,0.25739711028790074,0.5736834423878321
mlp2_mnist,sgd_momentum,2142,30,0.24789846471828955,0.5742393422214204
mlp2_mnist,sgd_momentum,2142,31,0.23979309761054426,0.5744712782904311
mlp2_mnist,sgd_momentum,2142,32,0.23137477575077306,0.5688619251048923
mlp2_mnist,sgd_momentum,2142,33,0.22275959970828565,0.5691117923811336
mlp2_mnist,sgd_momentum,2142,34,0.2143576290252469,0.5756350117931577
mlp2_mnist,sgd_momentum,2142,35,0.20671691195911593,0.565495299833419
mlp2_mnist,sgd_momentum,2142,36,0.200341222910938,0.5592245132273346
mlp2_mnist,sgd_momentum,2142,37,0.1936922166835618,0.5727478348404399
mlp2_mnist,sgd_momentum,2142,38,0.18552974003045497,0.5659561443354014
mlp2_mnist,sgd_momentum,2142,39,0.17872489672101619,0.5592030215907331
mlp2_mnist,sgd_momentum,2142,40,0.17030168338942633,0.5658896105336437
mlp2_mnist,adam,242,0,1.0,1.0
mlp2_mnist,adam,242,1,0.8835343363427511,0.16422992303535583
mlp2_mnist,adam,242,2,0.8075998720835854,0.37339382935898485
mlp2_mnist,adam,242,3,0.7536621331049211,0.371706815193671
mlp2_mnist,adam,242,4,0.7070790544803449,0.3727148988172673
mlp2_mnist,adam,242,5,0.6699180972926403,0.37498723812283086
mlp2_mnist,adam,242,6,0.6367007959344658,0.3696926383242142
mlp2_mnist,adam,242,7,0.599605193481124,0.3671258744662222
mlp2_mnist,adam,242,8,0.568488357661782,0.3721907686637029
mlp2_mnist,adam,242,9,0.5340989183515518,0.3646684904588826
mlp2_mnist,adam,242,10,0.5006097147862779,0.3748081213170341
mlp2_mnist,adam,242,11,0.4716119009822356,0.3577096099995274
mlp2_mnist,adam,242,12,0.43961842986443195,0.37089952384784286
mlp2_mnist,adam,242,13,0.41211121064686485,0.3652373481889636
mlp2_mnist,adam,242,14,0.3820528584403019,0.3692851395490123
mlp2_mnist,adam,242,15,0.3501887297000965,0.36427471779889864
mlp2_mnist,adam,242,16,0.32044909979270536,0.3618843254724743
mlp2_mnist,adam,242,17,0.2960580885371494,0.3647519300740075
mlp2_mnist,adam,242,18,0.274892118449447,0.36314065382359917
mlp2_mnist,adam,242,19,0.2528021933895386,0.3668964112052668
mlp2_mnist,adam,242,20,0.2349333114939827,0.3607269480573311
