arch,optimizer,lag,acf_mag,acf_mag,cos_sim,cos_sim
,,,mean,std,mean,std
mlp2_mnist,sgd_momentum,29,0.2555,0.0029,0.5682,0.0047
mlp2_mnist,sgd_momentum,30,0.2469,0.0024,0.5677,0.0074
mlp2_mnist,sgd_momentum,31,0.2388,0.0023,0.5651,0.0087
mlp2_mnist,sgd_momentum,32,0.231,0.0019,0.5645,0.0065
mlp2_mnist,sgd_momentum,33,0.2238,0.0021,0.5613,0.0079
mlp2_mnist,sgd_momentum,34,0.2163,0.0033,0.5665,0.0079
mlp2_mnist,sgd_momentum,35,0.2083,0.0018,0.5631,0.0028
mlp2_mnist,sgd_momentum,36,0.2014,0.0011,0.5535,0.0051
mlp2_mnist,sgd_momentum,37,0.1936,0.0004,0.5654,0.0063
mlp2_mnist,sgd_momentum,38,0.1864,0.001,0.5592,0.0059
mlp2_mnist,sgd_momentum,39,0.1799,0.0014,0.5542,0.0065
mlp2_mnist,sgd_momentum,40,0.1719,0.0017,0.5599,0.0055
