dataset,radius,k,k_used,seed,N,SUBSAMPLE,N_NULLS,NOISE,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
circle_r3_noise01,3.0,6,6,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2680224627256393,0.6859212592244148,1.2120441868901253,1.848641437586538,0.004975124378109453,100.0,1.9662683300525154,0.05597827583551407,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,6,6,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2720145247876644,0.6336714960634708,1.7669777423143387,2.007372167894147,0.01990049751243781,98.5,2.8005639164701486,-0.49496321752667427,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,8,8,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,0.028862912207841873,0.6821080259978771,1.4158917963504791,0.04231428323332672,1.0,0.0,-2.3340431906908043,-1.3870288841426373,0.0,False,False,False,False,False,False
circle_r3_noise01,3.0,8,8,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2626496329903603,0.7216736078262329,1.6371458917856216,1.7496131482372788,0.009950248756218905,99.5,1.784410329794242,-0.3744962587952614,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,8,8,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2681413516402245,0.6327778771519661,1.310286670923233,2.00408610576894,0.014925373134328358,99.0,2.23636279501867,-0.042145319283008575,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,8,8,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2665903344750404,0.6734542511403561,1.37984199821949,1.8807370097203335,0.024875621890547265,98.0,2.228780485718155,-0.11325166374444962,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,10,10,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.271715134382248,0.6166425794363022,1.4376150071620941,2.062321313495269,0.014925373134328358,99.0,2.7251004322579524,-0.1658998727798462,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,10,10,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2733378000557423,0.643033891916275,1.4118052572011948,1.9802032459893335,0.009950248756218905,99.5,2.177264438137248,-0.1384674571454525,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,10,10,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.273520652204752,0.6323108375072479,1.3613173961639404,2.014073738200225,0.014925373134328358,99.0,2.4504825950311018,-0.08779674395918846,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,10,10,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2667655013501644,0.6425425708293915,1.3097185641527176,1.9714888302467757,0.009950248756218905,99.5,2.6248669525584387,-0.04295306280255318,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,12,12,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2633062601089478,0.6340462118387222,1.223868265748024,1.9924513963160362,0.004975124378109453,100.0,2.2308089894895593,0.03943799436092377,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,12,12,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.27637430280447,0.5899952799081802,1.2427963465452194,2.163363583181456,0.004975124378109453,100.0,2.763983597231077,0.03357795625925064,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,12,12,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2727896608412266,0.5443190559744835,1.274237260222435,2.3383154546376086,0.009950248756218905,99.5,2.9088075056709,-0.0014475993812084198,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,12,12,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2581518851220608,0.5862424671649933,1.3005589246749878,2.1461288725878296,0.014925373134328358,99.0,2.7241805038144378,-0.04240703955292702,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,14,14,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2677336558699608,0.5320206210017204,1.2439573407173157,2.382865636825529,0.004975124378109453,100.0,3.206009640580712,0.02377631515264511,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,14,14,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2630730979144573,0.5437561199069023,1.3636957854032516,2.3228669097616557,0.014925373134328358,99.0,2.8118758836971,-0.10062268748879433,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,14,14,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2709369659423828,0.5730192214250565,1.6320699602365494,2.2179656779740102,0.01990049751243781,98.5,2.4198584296824257,-0.36113299429416656,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,14,14,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2720490023493767,0.5718674585223198,1.285761944949627,2.2243773157403828,0.009950248756218905,99.5,2.668569600961642,-0.013712942600250244,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,16,16,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2693632617592812,0.536506898701191,1.2275732830166817,2.3659775201956736,0.004975124378109453,100.0,2.8922151092189594,0.04178997874259949,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,16,16,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2688253410160542,0.5678079798817635,1.2379272729158401,2.234602869227078,0.004975124378109453,100.0,2.756147407262343,0.030898068100214005,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,16,16,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2683726251125336,0.5682601258158684,1.3784280866384506,2.232028198862731,0.014925373134328358,99.0,2.7707622416751208,-0.11005546152591705,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,16,16,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2681829184293747,0.5382527336478233,1.1577329188585281,2.356110501905571,0.004975124378109453,100.0,2.760797422305325,0.11044999957084656,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,20,20,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2635507471859455,0.48311561346054077,1.409145548939705,2.615421054460565,0.009950248756218905,99.5,3.121737958779939,-0.14559480175375938,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,20,20,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2682799585163593,0.548320583999157,1.2216339334845543,2.3130263490454634,0.004975124378109453,100.0,2.515320392864429,0.04664602503180504,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,20,20,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2658736631274223,0.523322269320488,1.1953697502613068,2.418918011589087,0.004975124378109453,100.0,3.0919190461515083,0.07050391286611557,0.0,False,False,False,False,True,True
