source_csv,seed,k,pct,block_size_normalized,n_nulls,n_rows,raw_pperm_triggers,formal_triggers,block_diagnostic_triggers,source_formal_trigger_mismatches
results/k_sensitivity_transition/raw_results.csv,500.0,20.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,20.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,6.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,6.0,98.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,8.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,8.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,10.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,10.0,98.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,12.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,12.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,14.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,14.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,16.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,16.0,100.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,20.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,20.0,100.0,,,2,2,2,0,0
results/k_sensitivity_transition/transition_summary.csv,100.0,,,,,4,0,0,0,0
results/k_sensitivity_transition/transition_summary.csv,200.0,,,,,4,0,0,0,0
results/k_sensitivity_transition/transition_summary.csv,300.0,,,,,4,0,0,0,0
results/k_sensitivity_transition/transition_summary.csv,400.0,,,,,4,0,0,0,0
results/k_sensitivity_transition/transition_summary.csv,500.0,,,,,4,0,0,0,0
results/k_sensitivity_transition/transition_summary.csv,600.0,,,,,4,0,0,0,0
results/manifold_benchmarks/manifold_results.csv,,,,,,4,0,0,0,0
results/projection_budget_sensitivity/results_corrected_long.csv,,,0.0,,,20,0,0,0,0
results/projection_budget_sensitivity/results_corrected_long.csv,,,100.0,,,25,25,25,0,0
results/projection_budget_sensitivity/results_corrected_wide.csv,,,,,,15,0,0,0,0
results/resnet_positive_controls/positive_control_drift_0.00_corrected.csv,,,,1.0,200.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_0.00_corrected.csv,,,,5.0,50.0,7,0,0,0,0
