dataset,type,k,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger,k_init,k_used,seed
helix_p25_r3,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.0004935543984174728,0.021701183170080185,0.0710584968328476,0.022743202272731473,1.0,0.0,-2.8948279643756836,-0.07056494243443012,0.0,False,False,False,False,False,False,6,6,600
helix_p25_r3,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.00041252095252275467,0.02235475741326809,0.07984664291143417,0.01845338532993698,1.0,0.0,-3.0283574237592292,-0.07943412195891142,0.0,False,False,False,False,False,False,8,8,100
helix_p25_r3,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.0021348726004362106,0.022443894296884537,0.06402194499969482,0.09512041770030233,1.0,0.0,-2.713237893251071,-0.061887072399258614,0.0,False,False,False,False,False,False,8,8,200
helix_p25_r3,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.0007547885179519653,0.02177883591502905,0.08133891597390175,0.03465697252424989,1.0,0.0,-2.6505677462423614,-0.08058412745594978,0.0,False,False,False,False,False,False,8,8,300
helix_p25_r3,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010050581768155098,0.022570613771677017,0.08803106471896172,0.04452950136571778,1.0,0.0,-2.748738729971532,-0.0870260065421462,0.0,False,False,False,False,False,False,8,8,400
helix_p25_r3,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.00217366311699152,0.022342934273183346,0.09332749247550964,0.0972863765482732,1.0,0.0,-3.153416298737814,-0.09115382935851812,0.0,False,False,False,False,False,False,8,8,500
helix_p25_r3,helix,8,1200,600,200,50,95.0,0.05,0.001,5.0,0.0005015591159462929,0.02323687355965376,0.06600158661603928,0.021584621297572777,1.0,0.0,-3.0872748032115536,-0.06550002750009298,0.0,False,False,False,False,False,False,8,8,600
helix_p25_r3,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.00041538383811712265,0.02077571302652359,0.08330079168081284,0.01999372236066332,1.0,0.0,-2.3156684047454283,-0.08288540784269571,0.0,False,False,False,False,False,False,10,10,100
helix_p25_r3,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.0021472368389368057,0.020124631002545357,0.0597777646034956,0.10669695452098113,1.0,0.0,-1.8850831580120293,-0.05763052776455879,0.0,False,False,False,False,False,False,10,10,200
helix_p25_r3,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.0007609399035573006,0.02149358205497265,0.07640669494867325,0.03540312180518325,1.0,0.0,-2.2908765789225427,-0.07564575504511595,0.0,False,False,False,False,False,False,10,10,300
helix_p25_r3,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010127052664756775,0.020342225208878517,0.07350235059857368,0.049783406487107974,1.0,0.0,-2.5180816072863066,-0.07248964533209801,0.0,False,False,False,False,False,False,10,10,400
helix_p25_r3,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.0021874457597732544,0.019980592653155327,0.08411029912531376,0.10947852236596874,1.0,0.0,-2.2260665434627303,-0.0819228533655405,0.0,False,False,False,False,False,False,10,10,500
helix_p25_r3,helix,10,1200,600,200,50,95.0,0.05,0.001,5.0,0.0005051121115684509,0.020995712839066982,0.05615575611591339,0.024057869119095816,1.0,0.0,-2.8748086777002144,-0.05565064400434494,0.0,False,False,False,False,False,False,10,10,600
helix_p25_r3,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.00041765719652175903,0.018921381793916225,0.0838647186756134,0.02207329258764678,1.0,0.0,-2.3110555305780265,-0.08344706147909164,0.0,False,False,False,False,False,False,12,12,100
