source_csv,arch,architecture,optimizer,seed,k,k_value,pct,filtration_pct,block_size_normalized,n_nulls,n_nulls_used,analysis_role_normalized,n_rows,raw_pvalue_triggers,formal_triggers,block_diagnostic_triggers,source_formal_trigger_mismatches
exp4_results/appendix/graph_locality_summary_by_arch_optimizer.csv,resnet18_cifar10,,adam,,,,,,,,,unclassified,1,0,0,0,0
exp4_results/appendix/graph_locality_summary_by_arch_optimizer.csv,resnet18_cifar10,,adamw,,,,,,,,,unclassified,1,0,0,0,0
exp4_results/appendix/graph_locality_summary_by_arch_optimizer.csv,resnet18_cifar10,,sgd,,,,,,,,,unclassified,1,0,0,0,0
exp4_results/appendix/graph_locality_summary_by_arch_optimizer.csv,resnet18_cifar10,,sgd_momentum,,,,,,,,,unclassified,1,0,0,0,0
exp4_results/appendix/graph_locality_summary_by_arch_optimizer.csv,smallcnn_cifar10,,adam,,,,,,,,,unclassified,1,0,0,0,0
exp4_results/appendix/graph_locality_summary_by_arch_optimizer.csv,smallcnn_cifar10,,adamw,,,,,,,,,unclassified,1,0,0,0,0
exp4_results/appendix/graph_locality_summary_by_arch_optimizer.csv,smallcnn_cifar10,,sgd,,,,,,,,,unclassified,1,0,0,0,0
exp4_results/appendix/graph_locality_summary_by_arch_optimizer.csv,smallcnn_cifar10,,sgd_momentum,,,,,,,,,unclassified,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adam,242.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adam,242.0,,,,,,,,projection_diagnostic,12,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adam,1242.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adam,1242.0,,,,,,,,projection_diagnostic,15,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adam,2242.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adam,2242.0,,,,,,,,projection_diagnostic,12,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adamw,342.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adamw,342.0,,,,,,,,projection_diagnostic,12,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adamw,1342.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adamw,1342.0,,,,,,,,projection_diagnostic,15,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adamw,2342.0,,,,,,,,formal_matched_step,1,1,1,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,adamw,2342.0,,,,,,,,projection_diagnostic,12,3,0,0,3
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd,42.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd,42.0,,,,,,,,projection_diagnostic,12,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd,1042.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd,1042.0,,,,,,,,projection_diagnostic,12,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd,2042.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd,2042.0,,,,,,,,projection_diagnostic,12,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd_momentum,142.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd_momentum,142.0,,,,,,,,projection_diagnostic,15,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd_momentum,1142.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd_momentum,1142.0,,,,,,,,projection_diagnostic,12,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd_momentum,2142.0,,,,,,,,formal_matched_step,1,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,mlp2_mnist,,sgd_momentum,2142.0,,,,,,,,projection_diagnostic,15,0,0,0,0
exp4_results/appendix/table_appendix_full.csv,resnet18_cifar10,,adam,20242.0,,,,,,,,formal_matched_step,1,0,0,0,0
