arch,optimizer,k_value,filtration_pct,n_seeds,seeds_fired,p_min,p_median,zrob_median,Lobs_median
mlp2_mnist,sgd,16,99.0,3,0,0.9850746268656716,0.9850746268656716,-1.5812756522573463,0.0060425288975238
mlp2_mnist,sgd_momentum,8,90.0,3,0,0.9701492537313432,0.9800995024875622,-1.2465066536225096,0.0039169494993984
mlp2_mnist,sgd_momentum,8,95.0,3,0,0.9502487562189056,0.9800995024875622,-1.194276992863504,0.0039169494993984
mlp2_mnist,sgd_momentum,8,99.0,3,0,0.9303482587064676,0.965174129353234,-1.0889778291650007,0.0039169494993984
mlp2_mnist,sgd_momentum,10,90.0,3,0,0.9552238805970148,0.965174129353234,-1.1979134786948893,0.0052393595688045
mlp2_mnist,sgd_momentum,10,95.0,3,0,0.9502487562189056,0.9502487562189056,-1.1221878994630052,0.0052393595688045
mlp2_mnist,sgd_momentum,10,99.0,3,0,0.9552238805970148,0.9601990049751244,-1.2418562106336364,0.0052393595688045
mlp2_mnist,sgd_momentum,12,90.0,3,0,0.9104477611940298,0.965174129353234,-1.1047436856413684,0.0052607282996177
mlp2_mnist,sgd_momentum,12,95.0,3,0,0.9601990049751244,0.9601990049751244,-1.2953481114942933,0.0052607282996177
mlp2_mnist,sgd_momentum,12,99.0,3,0,0.9353233830845772,0.9701492537313432,-1.1913061384889516,0.0052607282996177
mlp2_mnist,sgd_momentum,16,90.0,3,0,0.9601990049751244,0.9701492537313432,-1.1483465712508565,0.0039169494993984
mlp2_mnist,sgd_momentum,16,95.0,3,0,0.9402985074626866,0.9800995024875622,-1.2250090374307088,0.0039169494993984
mlp2_mnist,sgd_momentum,16,99.0,3,0,0.9552238805970148,0.9751243781094528,-1.3380643584412657,0.0039169494993984
resnet18_cifar10,adam,8,90.0,3,0,0.3333333333333333,0.4705882352941176,3.601249773055315,3.601249773055315e-06
resnet18_cifar10,adam,8,95.0,3,0,0.2352941176470588,0.4705882352941176,3.601249773055315,3.601249773055315e-06
resnet18_cifar10,adam,8,99.0,3,0,0.2745098039215686,0.4313725490196078,3.601249773055315,3.601249773055315e-06
resnet18_cifar10,adam,10,90.0,3,0,0.3137254901960784,0.4705882352941176,4.093919415026903,4.093919415026903e-06
resnet18_cifar10,adam,10,95.0,3,0,0.3529411764705882,0.3529411764705882,4.093919415026903,4.093919415026903e-06
resnet18_cifar10,adam,10,99.0,3,0,0.3137254901960784,0.4705882352941176,4.093919415026903,4.093919415026903e-06
resnet18_cifar10,adam,12,90.0,3,0,0.1764705882352941,0.3137254901960784,4.562461981549859,4.562461981549859e-06
resnet18_cifar10,adam,12,95.0,3,0,0.3333333333333333,0.4117647058823529,4.562461981549859,4.562461981549859e-06
resnet18_cifar10,adam,12,99.0,3,0,0.3137254901960784,0.3529411764705882,4.562461981549859,4.562461981549859e-06
resnet18_cifar10,adam,16,90.0,3,0,0.2549019607843137,0.3529411764705882,5.376175977289677,5.376175977289677e-06
resnet18_cifar10,adam,16,95.0,3,0,0.2745098039215686,0.4313725490196078,5.376175977289677,5.376175977289677e-06
resnet18_cifar10,adam,16,99.0,3,0,0.3137254901960784,0.4313725490196078,5.376175977289677,5.376175977289677e-06
resnet18_cifar10,adamw,8,90.0,3,0,0.392156862745098,1.0,0.0,0.0
resnet18_cifar10,adamw,8,95.0,3,0,0.392156862745098,1.0,0.0,0.0
resnet18_cifar10,adamw,8,99.0,3,0,0.4901960784313725,1.0,0.0,0.0
resnet18_cifar10,adamw,10,90.0,3,0,0.3529411764705882,1.0,0.0,0.0
resnet18_cifar10,adamw,10,95.0,3,0,0.3137254901960784,1.0,0.0,0.0
